ticker,company,market,meeting_type
005930,삼성전자,KOSPI,annual
000660,SK하이닉스,KOSPI,annual
005380,현대차,KOSPI,annual
373220,LG에너지솔루션,KOSPI,annual
402340,SK스퀘어,KOSPI,annual
207940,삼성바이오로직스,KOSPI,annual
012450,한화에어로스페이스,KOSPI,annual
034020,두산에너빌리티,KOSPI,annual
000270,기아,KOSPI,annual
105560,KB금융,KOSPI,annual
329180,HD현대중공업,KOSPI,annual
028260,삼성물산,KOSPI,annual
032830,삼성생명,KOSPI,annual
068270,셀트리온,KOSPI,annual
055550,신한지주,KOSPI,annual
042660,한화오션,KOSPI,annual
012330,현대모비스,KOSPI,annual
006800,미래에셋증권,KOSPI,annual
035420,NAVER,KOSPI,annual
267260,HD현대일렉트릭,KOSPI,annual
009150,삼성전기,KOSPI,annual
010130,고려아연,KOSPI,annual
006400,삼성SDI,KOSPI,annual
086790,하나금융지주,KOSPI,annual
015760,한국전력,KOSPI,annual
042700,한미반도체,KOSPI,annual
005490,POSCO홀딩스,KOSPI,annual
009540,HD한국조선해양,KOSPI,annual
010120,LS ELECTRIC,KOSPI,annual
034730,SK,KOSPI,annual
298040,효성중공업,KOSPI,annual
272210,한화시스템,KOSPI,annual
316140,우리금융지주,KOSPI,annual
010140,삼성중공업,KOSPI,annual
000810,삼성화재,KOSPI,annual
035720,카카오,KOSPI,annual
051910,LG화학,KOSPI,annual
267250,HD현대,KOSPI,annual
011200,HMM,KOSPI,annual
024110,기업은행,KOSPI,annual
064350,현대로템,KOSPI,annual
096770,SK이노베이션,KOSPI,annual
066570,LG전자,KOSPI,annual
138040,메리츠금융지주,KOSPI,annual
033780,KT&G,KOSPI,annual
000150,두산,KOSPI,annual
000720,현대건설,KOSPI,annual
003670,포스코퓨처엠,KOSPI,annual
047810,한국항공우주,KOSPI,annual
086280,현대글로비스,KOSPI,annual
017670,SK텔레콤,KOSPI,annual
030200,KT,KOSPI,annual
079550,LIG넥스원,KOSPI,annual
047050,포스코인터내셔널,KOSPI,annual
003550,LG,KOSPI,annual
352820,하이브,KOSPI,annual
005830,DB손해보험,KOSPI,annual
278470,에이피알,KOSPI,annual
010950,S-Oil,KOSPI,annual
005940,NH투자증권,KOSPI,annual
071050,한국금융지주,KOSPI,annual
018260,삼성에스디에스,KOSPI,annual
323410,카카오뱅크,KOSPI,annual
039490,키움증권,KOSPI,annual
307950,현대오토에버,KOSPI,annual
259960,크래프톤,KOSPI,annual
003490,대한항공,KOSPI,annual
007660,이수페타시스,KOSPI,annual
006260,LS,KOSPI,annual
016360,삼성증권,KOSPI,annual
003230,삼양식품,KOSPI,annual
090430,아모레퍼시픽,KOSPI,annual
180640,한진칼,KOSPI,annual
377300,카카오페이,KOSPI,annual
000880,한화,KOSPI,annual
009830,한화솔루션,KOSPI,annual
443060,HD현대마린솔루션,KOSPI,annual
000100,유한양행,KOSPI,annual
326030,SK바이오팜,KOSPI,annual
047040,대우건설,KOSPI,annual
161390,한국타이어앤테크놀로지,KOSPI,annual
028050,삼성E&A,KOSPI,annual
029780,삼성카드,KOSPI,annual
011070,LG이노텍,KOSPI,annual
128940,한미약품,KOSPI,annual
032640,LG유플러스,KOSPI,annual
078930,GS,KOSPI,annual
052690,한전기술,KOSPI,annual
064400,LG씨엔에스,KOSPI,annual
034220,LG디스플레이,KOSPI,annual
001040,CJ,KOSPI,annual
241560,두산밥캣,KOSPI,annual
138930,BNK금융지주,KOSPI,annual
454910,두산로보틱스,KOSPI,annual
175330,JB금융지주,KOSPI,annual
001440,대한전선,KOSPI,annual
271560,오리온,KOSPI,annual
021240,코웨이,KOSPI,annual
022100,포스코DX,KOSPI,annual
036570,엔씨소프트,KOSPI,annual
086520,에코프로,KOSDAQ,annual
