ticker,company,agenda_title,decision,passed,message
010120,LS ELECTRIC,제51기(2024.1.1 ~ 2024.12.31) 재무제표(이익잉여금처분계산서 포함) 및 연결재무제표 승인의,FOR,True,no extractable facts
010120,LS ELECTRIC,정관 일부 변경의 건,FOR,True,no extractable facts
010120,LS ELECTRIC,"이사 선임의 건 (사내이사 1명, 사외이사 1명)",FOR,True,no extractable facts
010120,LS ELECTRIC,사내이사 선임의 건 (채대석),FOR,True,no extractable facts
010120,LS ELECTRIC,사외이사 선임의 건 (송원자),FOR,True,no extractable facts
010120,LS ELECTRIC,감사위원회 위원 선임의 건(송원자),FOR,True,no extractable facts
010120,LS ELECTRIC,이사보수한도 승인의 건,FOR,True,ok
012450,한화에어로스페이스,제48기 재무제표(이익잉여금처분계산서 포함) 및 연결재무제표 승인의 건,FOR,True,no extractable facts
012450,한화에어로스페이스,정관 일부 변경의 건,FOR,True,no extractable facts
012450,한화에어로스페이스,이사 수 상한 변경,FOR,True,no extractable facts
012450,한화에어로스페이스,부칙 변경,FOR,True,no extractable facts
012450,한화에어로스페이스,이사 선임의 건,FOR,True,no extractable facts
012450,한화에어로스페이스,사내이사 선임의 건(김동관),FOR,True,no extractable facts
012450,한화에어로스페이스,사내이사 선임의 건(안병철),FOR,True,no extractable facts
012450,한화에어로스페이스,사 내이사 선임의 건(Michael Coulter),FOR,True,no extractable facts
012450,한화에어로스페이스,사외이사 선임의 건(김현진),REVIEW,True,no extractable facts
012450,한화에어로스페이스,사외이사 선임의 건(이정근),FOR,True,no extractable facts
003230,삼양식품,제64기(2024.01.01 ~ 2024.12.31) 재무제표 (이익잉여금처분계산서 포함) 및 연결재무제표 ,FOR,True,no extractable facts
003230,삼양식품,사내이사 김동찬 선임의 건,FOR,True,no extractable facts
003230,삼양식품,이사 보수한도 승인의 건,FOR,True,ok
005490,POSCO홀딩스,제57기(2024년 1월 1일 ~ 2024년 12월 31일) 재무제표 승인의 건,FOR,True,no extractable facts
005490,POSCO홀딩스,정관 일부 변경의 건,FOR,True,no extractable facts
005490,POSCO홀딩스,사채발행 위임의 근거조항 추가,FOR,True,no extractable facts
005490,POSCO홀딩스,대표이사 회장 연임 후 재선임 시 주주총회 의결정족수 상향,FOR,True,no extractable facts
005490,POSCO홀딩스,전문 삭제,FOR,True,no extractable facts
005490,POSCO홀딩스,분기 배당기준일 변경,FOR,True,no extractable facts
005490,POSCO홀딩스,사내이사 선임의 건,FOR,True,no extractable facts
005490,POSCO홀딩스,사내이사 이주태 선임의 건,FOR,True,no extractable facts
005490,POSCO홀딩스,사내이사 천성래 선임의 건,FOR,True,no extractable facts
005490,POSCO홀딩스,사내이사 김기수 선임의 건,FOR,True,no extractable facts
006400,삼성SDI,제55기(2024.1.1-2024.12.31) 재무제표 (이익잉여금처분계산서 포함) 및 연결재무제표 승인의 ,FOR,True,no extractable facts
006400,삼성SDI,사내이사 최주선 선임의 건,FOR,True,no extractable facts
006400,삼성SDI,이사 보수한도 승인의 건,FOR,True,no extractable facts
006400,삼성SDI,정관 일부 변경의 건,FOR,True,no extractable facts
005930,삼성전자,"제56기(2024.1.1. ~ 2024.12.31.) 재무상태표, 손익계산서 및 이익잉여금처분계산서 등 재무",FOR,True,no extractable facts
005930,삼성전자,이사 선임의 건,FOR,True,no extractable facts
005930,삼성전자,사외이사 선임의 건,FOR,True,no extractable facts
005930,삼성전자,사외이사 김준성 선임의 건,FOR,True,no extractable facts
005930,삼성전자,사외이사 허은녕 선임의 건,FOR,True,no extractable facts
005930,삼성전자,사외이사 유명희 선임의 건,FOR,True,no extractable facts
005930,삼성전자,사외이사 이혁재 선임의 건,FOR,True,no extractable facts
005930,삼성전자,사내이사 선임의 건,FOR,True,no extractable facts
005930,삼성전자,사내이사 전영현 선임의 건,FOR,True,no extractable facts
005930,삼성전자,사내이사 노태문 선임의 건,FOR,True,no extractable facts
000660,SK하이닉스,제77기(2024.1.1~2024.12.31) 재무제표 승인의 건,FOR,True,no extractable facts
000660,SK하이닉스,사내이사 선임의 건 (후보: 곽노정),FOR,True,no extractable facts
000660,SK하이닉스,기타비상무이사 선임의 건 (후보: 한명진),FOR,True,no extractable facts
000660,SK하이닉스,이사 보수한도 승인의 건,FOR,True,ok
005380,현대차,제57기 재무제표 승인의 건,FOR,True,no extractable facts
005380,현대차,정관 일부 변경의 건,FOR,True,no extractable facts
005380,현대차,사업목적 추가,FOR,True,no extractable facts
005380,현대차,분기배당 개선,FOR,True,no extractable facts
005380,현대차,부칙(2025.3.20),FOR,True,no extractable facts
005380,현대차,이사 선임의 건,FOR,True,no extractable facts
005380,현대차,사외이사 선임의 건,FOR,True,no extractable facts
005380,현대차,사외이사 선임의 건(김수이),FOR,True,no extractable facts
005380,현대차,사외이사 선임의 건(도진명),FOR,True,no extractable facts
005380,현대차,사외이사 선임의 건(Benjamin Tan),FOR,True,no extractable facts
035720,카카오,제 30기(2024.1.1~2024.12.31) 연결재무제표 및 별도재무제표 승인의 건 (이익잉여금처분계산서,FOR,True,ok
035720,카카오,정관 일부 변경의 건,FOR,True,no extractable facts
035720,카카오,사업의 목적 변경의 건 (제2 조),FOR,True,no extractable facts
035720,카카오,주주총회 소집지 변경의 건 (제17 조),FOR,True,no extractable facts
035720,카카오,기타 일부조항 변경의 건 (부칙),FOR,True,no extractable facts
035720,카카오,"이사 선임의 건 (사외이사 2인, 사내이사 1인 )",FOR,True,no extractable facts
035720,카카오,최세정 사외이사 선임의 건 (1년),FOR,True,no extractable facts
035720,카카오,박새롬 사외이사 선임의 건 (1년),FOR,True,no extractable facts
035720,카카오,신종환 사내이사 선임의 건 (2년),FOR,True,no extractable facts
035720,카카오,"감사위원회 위원이 되는 사외이사 선임의 건 (김선욱, 2년)",FOR,True,no extractable facts
323410,카카오뱅크,제9기(2024.1.1~2024.12.31) 재무제표(이익잉여금처분계산서(안) 포함)승인,FOR,True,no extractable facts
323410,카카오뱅크,정관 일부 변경,FOR,True,no extractable facts
323410,카카오뱅크,이사회 심의·의결 사항으로 '내부통제 및 위험관리 정책의 수립 및 감독에 관한 사항 '신설(정관 제 45 조,FOR,True,no extractable facts
323410,카카오뱅크,이사회 소집 통지기간을 5 일에서 7 일로 변경 (정관 제 45 조 제 2 항),FOR,True,no extractable facts
323410,카카오뱅크,주주의 배당 예측가능성 제고를 위해 분기배당의 배당기준일을 배당결정일 이후의 날로 정할 수 있도록 관련 조항,FOR,True,no extractable facts
323410,카카오뱅크,"이사 선임 (사내이사 1명, 사외이사 2명)",FOR,True,no extractable facts
323410,카카오뱅크,사내이사 후보 윤호영,FOR,True,no extractable facts
323410,카카오뱅크,사외이사 후보 진웅섭,REVIEW,True,no extractable facts
323410,카카오뱅크,사외이사 후보 유호석,FOR,True,no extractable facts
323410,카카오뱅크,대표이사 선임 - 대표이사 후보 윤호영,FOR,True,no extractable facts
207940,삼성바이오로직스,제14기(2024.1.1~12.31) 재무제표 승인의 건,FOR,True,no extractable facts
207940,삼성바이오로직스,정관 변경의 건,FOR,True,no extractable facts
207940,삼성바이오로직스,이사 선임의 건,FOR,True,no extractable facts
207940,삼성바이오로직스,사내이사 유승호 선임의 건 (신규선임),FOR,True,no extractable facts
207940,삼성바이오로직스,사외이사 이호승 선임의 건 (신규선임),FOR,True,no extractable facts
207940,삼성바이오로직스,감사위원이 되는 사외이사 이창우 선임의 건 (재선임),REVIEW,True,no extractable facts
207940,삼성바이오로직스,감사위원 이호승 선임의 건 (신규선임),FOR,True,no extractable facts
207940,삼성바이오로직스,이사 보수한도 승인의 건,FOR,True,ok
035420,NAVER,제26기(2024년) 재무제표(이익잉여금처분계산서 포함) 승인의 건,FOR,True,no extractable facts
035420,NAVER,사내이사 선임의 건,FOR,True,no extractable facts
035420,NAVER,사내이사 이해진 선임의 건,FOR,True,no extractable facts
035420,NAVER,사내이사 최수연 재선임의 건,FOR,True,no extractable facts
035420,NAVER,사외이사 선임의 건,FOR,True,no extractable facts
035420,NAVER,사외이사 노혁준 재선임의 건,FOR,True,no extractable facts
035420,NAVER,사외이사 김이배 선임의 건,FOR,True,no extractable facts
035420,NAVER,감사위원회 위원 선임의 건,FOR,True,no extractable facts
035420,NAVER,감사위원회 위원 노혁준 재선임의 건,FOR,True,no extractable facts
