isu_cd,bas_dd,factor,shares_ratio,price_ratio,mktcap_ratio,confidence,evidence,verdict,verify_method,note,event_type,effective_date,effective_src,detail
018880,20160219,5,5,0.180952380952381,0.904761904761905,high,20151116800463,confirmed,mechanical,[split] 결정공시(split) 방향·크기 정합,split,20160216,krx_daily_shares,
060900,20160311,5,5,0.2,1,high,20160302900333,confirmed,mechanical,[split] 실행공시(split),split,20160307,krx_daily_shares,
004200,20160311,0.41075,0.41075,2,0.8215,high,20160201000362,confirmed,mechanical,[reduction] 결정공시(reduction) 방향·크기 정합,reduction,20160310,krx_daily_shares,
001000,20160401,5,5,0.17,0.85,high,20160329900860,confirmed,mechanical,[split] 실행공시(split),split,20160401,krx_daily_shares,
058400,20160429,10,10,0.0888429752066116,0.888429752066116,high,20160425900454,confirmed,mechanical,[split] 실행공시(split),split,20160428,krx_daily_shares,
002900,20160504,10,10,0.104682274247492,1.04682274247492,high,20160126800251,confirmed,mechanical,[split] 결정공시(split) 방향·크기 정합,split,20160502,krx_daily_shares,
122800,20160513,5,5,0.240213049267643,1.20106524633822,high,20160510900332,confirmed,mechanical,[split] 실행공시(split),split,20160513,krx_daily_shares,
205500,20160513,0.2,0.2,4.6969696969697,0.939393939393939,high,20160510900369,confirmed,mechanical,[merge] 실행공시(merge),merge,20160513,krx_daily_shares,
000180,20160513,10,10,0.116735822959889,1.16735822959889,high,20160302800162,confirmed,mechanical,[split] 결정공시(split) 방향·크기 정합,split,20160511,krx_daily_shares,
014530,20160520,10,10,0.0876190476190476,0.876190476190476,high,20160114800237,confirmed,mechanical,[split] 결정공시(split) 방향·크기 정합,split,20160516,krx_daily_shares,
005745,20160520,10,10,0.10265306122449,1.0265306122449,high,20160224800726,confirmed,mechanical,[split] 결정공시(split) 방향·크기 정합 (우선주→보통주 corp 매핑),split,20160517,krx_daily_shares,
005740,20160520,10,10,0.107070707070707,1.07070707070707,high,20160224800726,confirmed,mechanical,[split] 결정공시(split) 방향·크기 정합,split,20160517,krx_daily_shares,
004990,20160520,10,10,0.0958767013610889,0.958767013610889,high,20160307800248,confirmed,mechanical,[split] 결정공시(split) 방향·크기 정합,split,20160517,krx_daily_shares,
005725,20160520,10,10,0.0975634517766497,0.975634517766497,high,20160223800353,confirmed,mechanical,[split] 결정공시(split) 방향·크기 정합 (우선주→보통주 corp 매핑),split,20160520,krx_daily_shares,
005720,20160520,10,10,0.100990099009901,1.00990099009901,high,20160223800353,confirmed,mechanical,[split] 결정공시(split) 방향·크기 정합,split,20160520,krx_daily_shares,
078860,20160527,5,5,0.244801512287335,1.22400756143667,high,20160520900477,confirmed,mechanical,[split] 실행공시(split),split,20160525,krx_daily_shares,
050320,20160902,5.26378509084581,5.26378509084581,0.162962962962963,0.857802014804503,high,20160829900470,confirmed,mechanical,[split] 실행공시(split),split,20160830,krx_daily_shares,
195990,20161111,5.13470098478584,5.13470098478584,0.155902004454343,0.800510175801802,high,20161104900633,confirmed,mechanical,[split] 실행공시(split),split,20161107,krx_daily_shares,
224060,20161125,5.9322812187799,5.9322812187799,0.170180722891566,1.00955990620803,high,20161121900341,confirmed,mechanical,[split] 실행공시(split),split,20161124,krx_daily_shares,
078600,20170106,1.18903292311155,1.18903292311155,0.954545454545455,1.13498597206103,medium,20161027000203,confirmed,panel,"[mixed] 패널합의(c4/r0/u0) 유무상증자 중 유상분 1.67M주는 전주(20161229)에 선반영됐고 bas_dd 주간 증가분 2,107,960주/11,151,285 = 1.189는 무상 0.",mixed,20170103,krx_daily_shares,
090710,20170331,2.5,2.5,0.45186136071887,1.12965340179718,high,20170323900476,confirmed,mechanical,[split] 실행공시(split),split,20170328,krx_daily_shares,
002760,20170512,5,5,0.185887708649469,0.929438543247344,high,20170410800252,confirmed,mechanical,[split] 결정공시(split) 방향·크기 정합,split,20170511,krx_daily_shares,
013520,20170519,10,10,0.089768574908648,0.89768574908648,high,20170308801132,confirmed,mechanical,[split] 결정공시(split) 방향·크기 정합,split,20170518,krx_daily_shares,
013360,20170519,10,10,0.0815047021943574,0.815047021943574,high,20170224800208,confirmed,mechanical,[split] 결정공시(split) 방향·크기 정합,split,20170518,krx_daily_shares,
082920,20170721,1.19997112537297,1.19997112537297,1,1.19997112537297,medium,20170711000080,confirmed,mechanical,[bonus] 결정공시(bonus) 방향·크기 정합,bonus,20170721,krx_daily_shares,
