loop,market,rank,ticker,company,rcept_no,severity,code,agenda_id,title,message,evidence
loop_01_live,KOSPI,4,005380,현대자동차,20260305001412,INFO,variant_fiduciary_duty_pure,2-3,이사의 충실의무 확대,순수 이사 충실의무 표현,
loop_01_live,KOSPI,4,005380,현대자동차,20260305001412,INFO,variant_independent_director_title,2-7,독립이사로의 명칭 변경,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,4,005380,현대자동차,20260305001412,INFO,variant_independent_director_title,3-1,사외이사 선임의 건 (최윤희),사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,4,005380,현대자동차,20260305001412,INFO,variant_independent_director_title,4,감사위원회 위원이 되는 사외이사 선임의 건 (장승화),사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,12,012450,한화에어로스페이스,20260309001870,INFO,variant_independent_director_title,2-4,사외이사 명칭 변경,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,12,012450,한화에어로스페이스,20260309001870,INFO,variant_independent_director_title,3-3,사외이사 선임의 건(전휴재),사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,12,012450,한화에어로스페이스,20260309001870,INFO,variant_independent_director_title,4,감사위원회 위원이 되는 사외이사 선임의 건(전우홍),사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,20,267260,HD현대일렉트릭,20260223002953,INFO,variant_independent_director_title,4,감사위원회 위원이 되는 사외이사 선임의 건 - 사외이사 한찬식,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,27,086790,하나금융지주,20260227007762,INFO,variant_independent_director_title,4,"이사 선임의 건 (사외이사 6명, 사내이사 2명 선임)",사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,27,086790,하나금융지주,20260227007762,INFO,variant_independent_director_title,4-1,사외이사 (원숙연) 선임의 건,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,27,086790,하나금융지주,20260227007762,INFO,variant_independent_director_title,4-2,사외이사 (주영섭) 선임의 건,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,27,086790,하나금융지주,20260227007762,INFO,variant_independent_director_title,4-3,사외이사 (이재술) 선임의 건,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,27,086790,하나금융지주,20260227007762,INFO,variant_independent_director_title,4-4,사외이사 (윤 심) 선임의 건,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,27,086790,하나금융지주,20260227007762,INFO,variant_independent_director_title,4-5,사외이사 (이재민) 선임의 건,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,27,086790,하나금융지주,20260227007762,INFO,variant_independent_director_title,4-6,사외이사 (최현자) 선임의 건,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,27,086790,하나금융지주,20260227007762,INFO,variant_independent_director_title,5,감사위원회 위원이 되는 사외이사 선임의 건,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,27,086790,하나금융지주,20260227007762,INFO,variant_independent_director_title,5-1,감사위원회 위원이 되는 사외이사 (박동문) 선임의 건,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,27,086790,하나금융지주,20260227007762,INFO,variant_independent_director_title,5-2,감사위원회 위원이 되는 사외이사 (이준서) 선임의 건,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,27,086790,하나금융지주,20260227007762,INFO,variant_independent_director_title,6,사외이사인 감사위원회 위원 선임의 건,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,27,086790,하나금융지주,20260227007762,INFO,variant_independent_director_title,6-1,사외이사인 감사위원회 위원 (주영섭) 선임의 건,사외이사/독립이사 관련 표현,
loop_01_live,KOSPI,27,086790,하나금융지주,20260227007762,INFO,variant_independent_director_title,6-2,사외이사인 감사위원회 위원 (윤 심) 선임의 건,사외이사/독립이사 관련 표현,
